Task,Planned(min),Actual(min),Start Date,Start Time,End Date,End Time,Status
k,k,k,1,0,2025-06-25,14:02:46,2025-06-25,14:03:01,Aborted
k,k,k,1,0,2025-06-25,14:10:56,2025-06-25,14:10:59,Aborted
k,y,y,1,0,2025-06-25,14:26:10,2025-06-25,14:26:15,Aborted
y,y,y,1,0,2025-06-25,14:26:55,2025-06-25,14:26:58,Aborted
y,y,y,1,0,2025-06-25,14:28:24,2025-06-25,14:28:28,Aborted
y,y,y,1,0,2025-06-25,14:28:59,2025-06-25,14:29:07,Aborted
y,y,y,1,0,2025-06-25,14:34:11,2025-06-25,14:34:15,Aborted
y,y,y,1,0,2025-06-25,14:39:49,2025-06-25,14:39:51,Aborted
y,y,y,1,0,2025-06-25,14:45:51,2025-06-25,14:45:55,Aborted
y,y,y,1,0,2025-06-25,14:45:51,2025-06-25,14:45:55,Aborted
y,y,y,1,0,2025-06-25,14:54:33,2025-06-25,14:54:36,Aborted
y,y,y,1,0,2025-06-25,14:54:33,2025-06-25,14:54:36,Aborted
test,h,h,60,0,2025-06-25,22:13:36,2025-06-25,22:13:39,Aborted
test,h,h,60,0,2025-06-25,22:13:36,2025-06-25,22:13:39,Aborted
IITM BS,quiz,done,60,0,2025-06-25,22:18:22,2025-06-25,22:18:52,Aborted
IITM BS,quiz,done,60,0,2025-06-25,22:18:22,2025-06-25,22:18:52,Aborted
lenskart,website,cart,15,9,2025-06-26,10:28:37,2025-06-26,10:37:37,Aborted
lenskart,website,cart,15,9,2025-06-26,10:28:37,2025-06-26,10:37:37,Aborted
mmaths 2,iitm,iitm,30,28,2025-07-13,05:32:28,2025-07-13,06:00:22,Aborted
mmaths 2,iitm,iitm,30,28,2025-07-13,05:32:28,2025-07-13,06:00:22,Aborted
h,y,y,1,3,2025-07-13,22:40:58,2025-07-13,22:43:40,Aborted
y,y,y,1,2,2025-07-14,12:13:30,2025-07-14,12:15:03,Aborted
y,1,1,2025-07-14,12:46:07,2025-07-14,12:47:08
y,1,1,2025-07-14,13:08:34,2025-07-14,13:09:34
y,1,1,2025-07-15,09:44:24,2025-07-15,09:45:25
y,1,1,2025-07-15,09:50:31,2025-07-15,09:51:32
devfolio,10,10,2025-07-15,10:40:11,2025-07-15,10:50:15
devfolio edit,40,40,2025-07-15,22:05:10,2025-07-15,22:45:12
discord,60,60,2025-07-15,22:45:57,2025-07-15,23:46:14
anime,25,25,2025-07-15,23:47:43,2025-07-16,00:12:53
anime,25,25,2025-07-16,00:13:08,2025-07-16,00:38:18
anime,25,25,2025-07-16,00:38:36,2025-07-16,01:03:45
y,y,y,10,2,2025-07-16,01:04:08,2025-07-16,01:06:01,Aborted
y,y,y,10,2,2025-07-16,01:04:08,2025-07-16,01:06:01,Aborted
hi,10,10,2025-07-16,09:49:40,2025-07-16,09:59:45
discord,10,10,2025-07-16,10:00:01,2025-07-16,10:10:06
anime,25,28,2025-07-17,07:13:58,2025-07-17,07:42:08
sponsor,60,60,2025-07-17,07:43:38,2025-07-17,08:44:02
sponsor,60,60,2025-07-17,08:46:37,2025-07-17,09:47:02
sponsor,60,63,2025-07-17,11:48:56,2025-07-17,12:51:53
sponsor,60,60,2025-07-17,12:52:06,2025-07-17,13:52:14
Sponsor,60,230,2025-07-17,14:02:13,2025-07-17,17:51:59
anime,25,25,2025-07-17,17:53:50,2025-07-17,18:18:59
hi,y,h,60,5,2025-07-17,18:19:16,2025-07-17,18:24:29,Aborted
hi,y,h,60,5,2025-07-17,18:19:16,2025-07-17,18:24:29,Aborted
h,60,60,2025-07-17,18:24:38,2025-07-17,19:25:01
sponsor,h,h,60,49,2025-07-17,19:27:53,2025-07-17,20:17:12,Aborted
sponsor,h,h,60,49,2025-07-17,19:27:53,2025-07-17,20:17:12,Aborted
ps,brave,choosen,10,4,2025-09-03,13:23:59,2025-09-03,13:28:04,Aborted
ps,brave,choosen,10,4,2025-09-03,13:23:59,2025-09-03,13:28:04,Aborted
hi,30,30,2025-09-03,15:35:50,2025-09-03,16:06:01
hi,,,2,0,2025-10-17,15:25:52,2025-10-17,15:25:57,Aborted
hi,,,2,0,2025-10-17,15:25:52,2025-10-17,15:25:57,Aborted
hi,1,2,2025-10-17,15:26:05,2025-10-17,15:28:11
timer,1,1,2025-10-17,15:28:58,2025-10-17,15:30:22
hi,1,1,2025-10-17,15:31:32,2025-10-17,15:32:32
timer,1,1,2025-10-17,15:33:18,2025-10-17,15:34:31
timer2,1,1,2025-10-17,15:35:15,2025-10-17,15:36:16
opennmind,,,60,42,2025-10-17,20:37:11,2025-10-17,21:19:05,Aborted
opennmind,,,60,42,2025-10-17,20:37:11,2025-10-17,21:19:05,Aborted
opennmind,50,51,2025-10-18,10:05:27,2025-10-18,10:56:06
insta,,,50,28,2025-10-18,10:56:47,2025-10-18,11:24:41,Aborted
insta,,,50,28,2025-10-18,10:56:47,2025-10-18,11:24:41,Aborted
distraction,5,5,2025-10-18,13:41:57,2025-10-18,13:47:00
hacks,20,20,2025-10-18,13:47:07,2025-10-18,14:07:16
hack 2,20,20,2025-10-18,14:07:58,2025-10-18,14:28:06
dcl,20,20,2025-10-18,14:28:18,2025-10-18,14:48:22
hacks,20,20,2025-10-18,14:48:57,2025-10-18,15:09:04
hack plan,20,20,2025-10-18,15:09:18,2025-10-18,15:29:26
onechain,5,5,2025-10-18,15:29:39,2025-10-18,15:34:41
game dev find,20,20,2025-10-18,15:46:30,2025-10-18,16:06:38
one labs 25,25,25,2025-10-18,16:06:52,2025-10-18,16:32:04
hack 40,,,40,19,2025-10-18,16:33:15,2025-10-18,16:51:48,Aborted
hack 40,,,40,19,2025-10-18,16:33:15,2025-10-18,16:51:48,Aborted
opennmind,10,10,2025-10-18,18:50:16,2025-10-18,19:00:20
insta,20,20,2025-10-18,19:00:33,2025-10-18,19:20:40
opennmind,10,10,2025-10-18,19:20:50,2025-10-18,19:30:54
insta,10,10,2025-10-18,19:31:32,2025-10-18,19:41:36
insta,10,10,2025-10-18,19:41:48,2025-10-18,19:51:52
insta,,,100,87,2025-10-18,19:51:57,2025-10-18,21:18:27,Aborted
insta,,,100,87,2025-10-18,19:51:57,2025-10-18,21:18:27,Aborted
mummy form,10,10,2025-10-18,21:22:25,2025-10-18,21:32:30
opennmind,,,27,11,2025-10-18,21:32:52,2025-10-18,21:43:50,Aborted
opennmind,,,27,11,2025-10-18,21:32:52,2025-10-18,21:43:50,Aborted
hi,,,20,5,2025-10-19,10:04:41,2025-10-19,10:09:51,Aborted
hi,,,20,5,2025-10-19,10:04:41,2025-10-19,10:09:52,Aborted
opennmind,20,23,2025-10-19,13:39:40,2025-10-19,14:02:44
insta,20,20,2025-10-19,14:03:59,2025-10-19,14:24:07
hi,10,10,2025-10-19,14:24:17,2025-10-19,14:34:21
insta,10,10,2025-10-19,14:34:30,2025-10-19,14:44:34
opennmind,,,50,169,2025-10-19,14:44:42,2025-10-19,17:33:50,Aborted
opennmind,,,50,169,2025-10-19,14:44:42,2025-10-19,17:33:50,Aborted
star,,,5,1,2025-10-19,19:41:50,2025-10-19,19:42:32,Aborted
star,,,5,1,2025-10-19,19:41:50,2025-10-19,19:42:32,Aborted
opennmind,,,45,40,2025-10-19,21:14:29,2025-10-19,21:54:04,Aborted
opennmind,,,45,40,2025-10-19,21:14:29,2025-10-19,21:54:05,Aborted
opennmind,30,40,2025-10-20,10:03:45,2025-10-20,10:43:28
drf 403,20,31,2025-10-20,10:43:43,2025-10-20,11:14:30
check auth,20,20,2025-10-20,11:15:20,2025-10-20,11:35:29
opennmind,20,20,2025-10-20,11:36:13,2025-10-20,11:56:21
opennmind,20,129,2025-10-20,11:56:48,2025-10-20,14:06:09
insta,10,10,2025-10-20,14:06:15,2025-10-20,14:16:17
insta,10,10,2025-10-20,14:16:33,2025-10-20,14:26:36
insta,20,20,2025-10-20,14:26:42,2025-10-20,14:46:48
insta,2,2,2025-10-20,14:46:54,2025-10-20,14:48:55
opennmind,50,73,2025-10-20,14:49:14,2025-10-20,16:02:42
insta,25,25,2025-10-20,16:09:25,2025-10-20,16:34:35
opennmind,,,50,8,2025-10-20,16:34:51,2025-10-20,16:43:13,Aborted
opennmind,,,50,8,2025-10-20,16:34:51,2025-10-20,16:43:13,Aborted
dark,,,45,0,2025-10-20,16:44:10,2025-10-20,16:44:33,Aborted
dark,,,45,0,2025-10-20,16:44:10,2025-10-20,16:44:33,Aborted
opennmind,,,50,41,2025-10-20,17:52:10,2025-10-20,18:33:05,Aborted
opennmind,,,50,41,2025-10-20,17:52:10,2025-10-20,18:33:06,Aborted
insta,5,5,2025-10-20,22:14:11,2025-10-20,22:19:13
insta,5,5,2025-10-20,22:22:08,2025-10-20,22:27:11
emrs,20,20,2025-10-20,22:58:05,2025-10-20,23:18:14
opennmind tasks,50,50,2025-10-21,11:27:21,2025-10-21,12:17:40
opennmind,25,25,2025-10-21,12:47:39,2025-10-21,13:12:48
opennmind,25,25,2025-10-21,13:33:42,2025-10-21,13:58:52
opennmind,25,25,2025-10-21,14:02:20,2025-10-21,14:27:30
backend deploy,20,20,2025-10-21,14:31:47,2025-10-21,14:51:55
opennmind,25,25,2025-10-21,14:52:14,2025-10-21,15:17:24
opennmind,25,25,2025-10-21,15:17:38,2025-10-21,15:42:48
backend,25,25,2025-10-21,15:43:38,2025-10-21,16:08:49
deploy cdn,10,10,2025-10-21,16:09:14,2025-10-21,16:19:19
cdn,5,5,2025-10-21,16:26:05,2025-10-21,16:31:07
task,20,20,2025-10-21,16:31:19,2025-10-21,16:51:27
frontend,20,20,2025-10-21,16:51:36,2025-10-21,17:11:44
opennmind,50,50,2025-10-22,09:56:14,2025-10-22,10:46:36
opennmind,25,25,2025-10-22,11:01:15,2025-10-22,11:26:26
opennmind,25,25,2025-10-22,14:00:10,2025-10-22,14:25:20
opennmind,25,25,2025-10-22,14:25:27,2025-10-22,14:50:38
coding club,50,50,2025-10-22,14:51:41,2025-10-22,15:42:01
club,20,20,2025-10-22,15:42:11,2025-10-22,16:02:20
club,,,25,22,2025-10-22,16:02:29,2025-10-22,16:24:29,Aborted
club,,,25,22,2025-10-22,16:02:29,2025-10-22,16:24:29,Aborted
insta,25,93,2025-10-22,17:24:35,2025-10-22,18:58:04
insta,25,25,2025-10-22,18:58:56,2025-10-22,19:24:05
insta,25,25,2025-10-22,19:24:10,2025-10-22,19:49:19
opennmind,25,25,2025-10-22,19:49:28,2025-10-22,20:14:34
opennmind,50,61,2025-10-22,20:33:31,2025-10-22,21:34:34
git team,,,50,59,2025-10-24,10:16:08,2025-10-24,11:15:06,Aborted
git team,,,50,59,2025-10-24,10:16:08,2025-10-24,11:15:06,Aborted
git integration,50,50,2025-10-24,11:15:48,2025-10-24,12:06:09
google auth,10,10,2025-10-24,12:28:53,2025-10-24,12:38:57
github,25,25,2025-10-24,12:40:52,2025-10-24,13:05:57
github,10,10,2025-10-24,13:17:23,2025-10-24,13:27:28
